loss,timestep
1.1550936782082808,860
0.8262621286996563,1720
0.20325748842469443,2580
0.09618191855937931,3440
0.06946342178555429,4300
0.05889328810018165,5160
0.05398886241451947,6020
0.05076354894960345,6880
0.048985478091378376,7740
0.04731112880155803,8600
0.04591070422686112,9460
0.04483100340463389,10320
0.043682491762000446,11180
0.04259917394929494,12040
0.04190020726690449,12900
0.041073304787278296,13760
0.04055821304967578,14620
0.04029711597100941,15480
0.03958356026560069,16340
0.03960379173459354,17200
0.03881399095448289,18060
0.03855972037715626,18920
0.038305059324430096,19780
0.03841879851466355,20640
0.03830807659298532,21500
0.03793425661360106,22360
0.03771859648269283,23220
0.037232037653150175,24080
0.03722078640360471,24940
0.037114772895827555,25800
