loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.017235082,-46.71969545996466,1
0.01738771,-59.157309682486286,2
0.017527733,-62.49587211313174,3
0.017663267,-64.60422677032707,4
0.017563552,-66.72707235351089,5
0.017669652,-68.3693710790432,6
0.016989352,-69.3394991211805,7
0.017429754,-70.67434432648257,8
0.017556442,-71.56596146812734,9
0.017416004,-71.41105217650264,10
0.017708665,-74.08951596203393,11
0.017697638,-73.77614830569087,12
0.017766695,-75.73547619565821,13
0.017729212,-75.2444383586716,14
0.017778566,-76.82220781804364,15
